member_id,birthday,country,city,gender
171,1985-08-20,Suomi,helsinki,male
794,1989-07-31,,Helsinki,male
279,1988-05-03,Suomi,Helsinki,female
789,1994-03-07,,HELSINKI,male
661,1974-08-08,,Helsinki,female
781,1975-07-23,,Espoo,undefined
862,1994-06-21,,Helsinki,undefined
100,1975-01-27,Suomi,Helsinki,male
1086,,,,male
732,2007-05-24,,Helsinki,male
761,1983-12-18,,Helsinki,female
643,1989-02-27,,Espoo,male
771,1987-03-29,,Espoo,male
879,1997-12-23,,Vantaa,male
1060,1975-05-25,,Helsinki,male
205,1987-05-04,Suomi,Espoo,male
352,1990-05-05,Suomi,Helsinki,male
894,1990-12-13,,Helsinki,female
933,2004-12-15,,Helsinki,female
884,1996-02-01,Suomi,Vantaa,female
487,1996-05-06,Suomi,Espoo,male
432,1988-04-03,Suomi,Vantaa,male
206,1997-03-12,Suomi,Espoo,male
504,1993-11-01,Suomi,Espoo,male
337,1992-08-06,Suomi,Tuusula,female
563,1974-05-25,Suomi,ESPOO,male
1063,1959-09-29,Suomi,Espoo,male
1062,1987-03-31,,Helsinki,male
215,1980-07-12,Suomi,Helsinki,male
865,1994-11-01,,Vantaa,female
123,1989-05-24,Suomi,Helsinki,male
753,1988-06-23,,Helsinki,male
857,1982-09-28,Suomi,Turku,male
927,1976-04-05,,Vantaa,male
1067,2003-08-23,,Helsinki,male
509,1992-11-02,Suomi,Espoo,female
796,1991-02-25,,Helsinki,male
1088,2005-05-31,,"Elielinaukio 2, 00100 Helsinki",male
1065,1989-09-13,,Helsinki,male
107,1917-01-01,Suomi,Helsinki,male
657,1994-04-19,,Helsinki,female
924,2006-03-07,,VANTAA,female
764,1993-04-11,,Espo,female
297,1985-03-11,Suomi,Helsinki,male
639,1997-03-19,,Helsinki,female
1058,2002-06-04,,HELSINKI,male
1089,1997-12-09,,00790,male
333,1976-10-05,Suomi,Kerava,male
458,1988-07-30,Suomi,Helsinki,male
793,1987-11-30,,Helsinki,male
347,1986-12-07,Suomi,Helsinki,male
788,1989-08-21,,Helsinki,male
1078,1994-11-16,,Espoo,male
765,1994-07-26,,Vantaa,female
325,1991-01-11,Suomi,Espoo,male
562,1996-02-28,Suomi,Espoo,male
1071,2008-02-12,,Espoo,female
640,1989-04-21,Suomi,Helsinki,male
1070,1991-01-20,,Espoo,male
447,1983-08-02,Suomi,Helsinki,male
782,1990-04-19,Suomi,Helsinki,male
869,1996-02-26,,Hki,male
216,1995-08-16,Suomi,Espoo,male
792,1997-01-12,,Espoo,male
902,1993-12-26,,Helsinki,other
620,1979-04-19,,Espoo,male
1080,2009-10-29,,Helsinki,male
308,1977-12-12,Suomi,Espoo,male
198,1986-11-19,Suomi,Helsinki,female
785,1989-09-08,,Helsinki,male
457,1987-08-05,Suomi,Vantaa,male
573,1990-01-15,Suomi,Helsinki,female
895,1985-09-10,,Helsinki,other
786,1988-01-31,,Helsinki,undefined
585,1994-06-19,Suomi,Helsinki,female
264,1992-06-04,Suomi,Vantaa,female
282,1988-11-20,Finland,Helsinki,male
1050,1986-07-04,,Helsinki,female
616,1982-04-06,,Helsinki,male
574,1990-08-01,Finland,Helsinki,male
420,1989-09-01,Suomi,Espoo,male
860,1992-02-21,,Helsinki,female
1075,2001-09-05,,Tuusula,male
745,2000-05-18,,Helsinki,male
882,1993-09-27,,Vantaa,male
1064,2006-12-24,,Helsinki,undefined
928,2003-06-12,,Espoo,male
331,1992-12-04,Suomi,Vantaa,male
883,1978-03-01,,Helsinki,undefined
925,1992-10-14,,Helsinki,female
229,1994-06-27,Suomi,Helsinki,male
610,1987-12-18,,Espoo,male
1002,1992-04-03,,Evitskog,male
1052,1991-10-03,,Helsinki,female
1069,1989-05-14,,Helsinki,male
506,1987-01-01,Suomi,Espoo,male
387,1996-06-24,Suomi,Helsinki,male
1073,1998-07-01,,Helsinki,male
303,1983-05-24,Suomi,Helsinki,male
150,1991-08-07,Suomi,Helsingfors,male
998,1996-10-18,Finland,,male
936,1986-10-12,,Helsinki,male
647,1992-07-23,,Helsinki,female
912,1987-03-11,,KERAVA,male
274,1990-06-22,Suomi,Helsinki,male
354,1992-11-13,Suomi,Espoo,male
897,2001-10-07,,Espoo,female
498,1992-12-05,Suomi,Helsinki,male
1066,1983-07-10,,"London, SW15 5EL, United Kingdom",other
658,1995-09-27,,Helsinki,male
641,1996-03-04,,Helsinki,male
472,1990-10-20,Suomi,,male
338,1990-06-06,Suomi,Kirkkonummi,male
609,1998-01-13,,Espoo,male
903,1988-06-03,,Helsinki,male
1072,1993-05-06,,Helsinki,female
881,1998-07-08,,Helsinki,male
1076,1993-08-04,,Helsinki,female
777,1989-08-28,,Espoo,male
561,1999-09-16,Suomi,Helsinki,male
404,1989-05-08,Suomi,Helsinki,male
718,1995-05-09,Suomi,Helsinki,female
1061,2008-07-14,,Helsinki,male
935,1989-09-27,,Helsinki,male
770,1992-08-10,Suomi,Espoo,male
269,1977-02-11,Suomi,Helsinki,male
1077,1990-01-02,,Espoo,female
463,1986-06-17,Suomi,Kärkölä,male
911,1992-12-07,,Espoo,male
739,1992-07-18,,Espoo,other
321,1997-06-17,Suomi,Helsinki,male
1074,1995-06-12,,Helsinki,female
1068,1967-12-27,,Helsinki,male
801,1986-07-14,,Helsinki,male
892,1973-01-13,,Espoo,female
542,1994-08-01,Suomi,Helsinki,female
142,1985-05-25,Suomi,Lohja,male
878,1996-05-28,,Helsinki,male
267,2000-10-31,Suomi,Espoo,male
483,1981-04-15,Suomi,Helsinki,male
